seed,min_tokens,max_tokens,correct_loss,mean_of_means,absolute_error
0,6,63,2.23269504440471,2.087540845706648,0.1451541986980618
1,9,64,1.9001277713743017,1.9827907133027325,0.08266294192843082
2,8,47,2.777661547294842,2.6165450244683233,0.16111652282651878
3,2,61,2.548167169531437,2.2676577312234762,0.28050943830796093
4,9,62,1.9996982787512803,2.060910919519055,0.06121264076777466
5,4,60,1.8527715713142787,1.940999123646463,0.08822755233218427
6,1,63,1.6294470048352832,2.0070843765574904,0.37763737172220724
7,7,51,1.6787596242524596,1.832098286412764,0.15333866216030434
8,6,49,2.2097800285544813,2.117575452979099,0.0922045755753822
9,1,60,2.2827196762007236,2.129884292181628,0.1528353840190957
10,2,63,2.456873476153459,2.2089061598455935,0.24796731630786573
11,13,61,2.1780399213997557,2.29222155584924,0.11418163444948437
12,2,62,2.141133178368175,2.329325139136274,0.18819196076809908
13,17,38,2.3947702273319225,2.465566324281744,0.07079609694982159
14,10,58,2.483471280700191,2.6437553963809783,0.1602841156807875
15,2,31,2.3915675723790675,2.213097556359339,0.17847001601972856
16,1,62,1.7809504576457593,1.7032382289354322,0.07771222871032712
17,4,54,2.582206575059022,2.772797849385861,0.19059127432683898
18,16,64,2.4559367791524744,2.190149596213938,0.2657871829385363
19,6,51,2.9617520672965068,2.5269448783228,0.4348071889737066
20,4,53,2.57839984049469,2.359312536295276,0.21908730419941413
21,22,62,1.8302470710439085,1.7232494915656082,0.10699757947830024
22,4,58,3.086561833337221,2.8454956004909406,0.24106623284628048
23,3,55,2.7130420489324663,2.300157549735663,0.41288449919680303
24,12,50,2.3786717712333294,2.1960925817822705,0.1825791894510589
25,2,61,2.1414212220247877,2.367505717329567,0.22608449530477914
26,6,62,3.1620175650456055,2.9570302171065936,0.20498734793901185
27,9,62,2.2547613097757253,2.322747452806225,0.06798614303049977
28,15,60,1.2724259753588645,1.4312744991708457,0.15884852381198122
29,3,54,2.1319259318809367,2.264212521560109,0.13228658967917228
30,4,51,2.4642086005854114,2.5796674606662506,0.11545886008083928
31,2,61,2.6107325514039403,1.9985707609994634,0.6121617904044769
32,4,64,2.9301965656099185,2.3257935163817423,0.6044030492281762
33,22,62,2.588188975282553,2.4511136405975966,0.13707533468495647
34,4,55,1.8685929580698033,1.945148892871804,0.07655593480200062
35,8,56,2.8115201298056194,2.7422881006059567,0.06923202919966265
36,1,43,1.6702499276712206,1.7774727404928137,0.10722281282159307
37,5,59,2.0422531552949024,2.3594049866441953,0.3171518313492929
38,6,60,2.1362808704080827,2.198189539763186,0.061908669355103196
39,1,51,2.3783210269257613,2.031280487507293,0.34704053941846835
40,5,59,2.4949615188770218,2.292311205767051,0.20265031310997061
41,22,50,2.8670408613916543,2.6110526227117226,0.2559882386799317
42,4,36,1.9394586536646021,2.04404237036192,0.10458371669731781
43,5,64,2.895863100738177,2.907329460662493,0.011466359924315661
44,4,53,2.007904453539479,1.9272725167607796,0.08063193677869962
45,3,63,1.2541055858399617,1.4625564053817783,0.20845081954181666
46,4,52,2.099312321851774,1.9820545983100755,0.1172577235416985
47,9,59,2.8786246111181866,2.9001317182100568,0.021507107091870203
48,14,56,2.189534395621468,2.015678386281636,0.17385600933983225
49,6,53,2.6918510492933523,2.448891397524634,0.24295965176871848
50,11,64,1.7039951755182148,1.7231204353295155,0.019125259811300754
51,21,60,2.340563347302102,2.455564913809075,0.1150015665069728
52,5,62,3.0314695700071344,2.6873767403894995,0.3440928296176349
53,4,62,1.800423518891628,1.7533597585861425,0.047063760305485536
54,18,63,2.6108730214496814,2.521298811993756,0.08957420945592531
55,11,39,2.5627498370845183,2.5803469500288707,0.0175971129443524
56,2,61,1.6880984651012694,1.6090500293252996,0.07904843577596976
57,3,62,2.9140756251602498,2.578709357066477,0.33536626809377257
58,6,58,2.056912831778496,2.228501028262154,0.17158819648365808
59,2,59,2.180328478013805,2.6101599136992304,0.4298314356854256
60,20,62,1.8700715872910791,2.130081638115351,0.26001005082427175
61,4,64,1.6365836417464443,1.7222148612047627,0.08563121945831842
62,9,60,2.008123574203881,2.3239322198154015,0.31580864561152033
63,11,62,1.805640824533682,2.0318122647952874,0.22617144026160552
64,3,61,1.8494461819988288,1.8721644579072478,0.022718275908419017
65,29,59,2.2834451219825205,2.3400018342439592,0.05655671226143877
66,10,58,2.1431715193094476,2.24097761578986,0.09780609648041239
67,10,63,1.2698179603977742,1.619475330461074,0.3496573700632999
68,15,61,2.5687854594860373,2.3925891142190934,0.17619634526694394
69,5,60,2.202781991737522,2.3989724026424115,0.1961904109048893
70,14,59,2.268573600654151,2.501601723016202,0.23302812236205117
71,2,42,2.470212758490906,2.4551532244262484,0.015059534064657765
72,10,48,2.3650595775207535,2.2706146380937176,0.09444493942703591
73,10,63,2.1748941079779702,2.0823836460047374,0.09251046197323287
74,15,45,1.8678994232247348,2.0758036635273607,0.2079042403026259
75,6,61,2.6433542019901197,2.6194587778222167,0.023895424167903023
76,7,60,2.013761604882196,1.9024071579216406,0.11135444696055541
77,15,61,2.7603614177591145,2.479843248603078,0.28051816915603656
78,5,55,2.0856095946366593,2.1740920283946865,0.08848243375802722
79,19,64,1.6562268265440032,1.8087036598115398,0.15247683326753658
80,4,54,2.79871459430491,2.9031714043391803,0.10445681003427021
81,3,62,2.177822927871163,2.2771181198938084,0.09929519202264547
82,5,63,1.7749231621266521,1.724959716602965,0.04996344552368703
83,5,64,1.5037008741834241,1.8620610375995332,0.3583601634161091
84,1,64,2.541231657462253,2.5623685558048113,0.021136898342558386
85,14,60,2.519021207113703,2.4558334052453805,0.06318780186832251
86,2,49,2.0588593979404077,2.4242438271829476,0.3653844292425399
87,14,47,2.041925518000356,1.9288840572697268,0.11304146073062915
88,2,60,1.6064723571007773,1.7175930295191917,0.11112067241841439
89,9,54,1.3869170882878041,2.0008744573410917,0.6139573690532876
90,12,62,2.602564481390334,2.482928756992764,0.11963572439757009
91,11,60,2.4244864883461794,2.455764621027159,0.031278132680979454
92,8,61,2.152569716923447,2.302271645705247,0.14970192878179978
93,12,64,1.6963732054178142,1.7620879856338019,0.06571478021598764
94,3,64,2.6089825602625463,2.514255960092741,0.09472660016980505
95,2,64,2.517621434290987,2.059310544327293,0.45831088996369385
96,3,51,1.7536419898696802,2.263868305733398,0.5102263158637179
97,3,55,1.509488173930006,1.8875894182638266,0.37810124433382075
98,6,61,2.5371442601129273,2.732494391212554,0.19535013109962662
99,12,52,2.246628181924491,2.389852792624999,0.14322461070050796
