seed,mode,forward_max_abs_diff,loss_abs_diff,input_grad_max_abs_diff,parameter_grad_max_abs_diff,post_step_weight_max_abs_diff,passed
11,equivalence,1.1920928955078125e-07,0.0,3.725290298461914e-09,2.2351741790771484e-08,1.4901161193847656e-08,True
17,equivalence,1.1920928955078125e-07,0.0,5.587935447692871e-09,1.4901161193847656e-08,2.9802322387695312e-08,True
23,equivalence,2.384185791015625e-07,0.0,1.1175870895385742e-08,4.470348358154297e-08,7.450580596923828e-09,True
29,equivalence,1.1920928955078125e-07,2.384185791015625e-07,5.587935447692871e-09,2.2351741790771484e-08,7.450580596923828e-09,True
31,equivalence,1.7881393432617188e-07,0.0,3.725290298461914e-09,2.2351741790771484e-08,1.4901161193847656e-08,True
11,missing_output_reduce,0.700843870639801,0.05957293510437012,0.013707960024476051,0.12953613698482513,0.0064768195152282715,False
17,missing_output_reduce,0.32424601912498474,0.011976003646850586,0.017389263957738876,0.0946192666888237,0.004730964079499245,False
23,missing_output_reduce,0.9368336200714111,0.012382268905639648,0.01798693835735321,0.09782573580741882,0.004891287535429001,False
29,missing_output_reduce,0.6108182668685913,0.005965828895568848,0.010287338867783546,0.06772252172231674,0.0033861249685287476,False
31,missing_output_reduce,0.4215610921382904,0.024132132530212402,0.012745865620672703,0.05687633529305458,0.002843816764652729,False
11,missing_input_grad_reduce,1.1920928955078125e-07,0.0,0.01103300042450428,0.0307764932513237,0.0015388727188110352,False
17,missing_input_grad_reduce,1.1920928955078125e-07,0.0,0.01818237267434597,0.014702938497066498,0.000735163688659668,False
23,missing_input_grad_reduce,2.384185791015625e-07,0.0,0.015720214694738388,0.040605735033750534,0.0020302534103393555,False
29,missing_input_grad_reduce,1.1920928955078125e-07,2.384185791015625e-07,0.009984754025936127,0.020801633596420288,0.0010401010513305664,False
31,missing_input_grad_reduce,1.7881393432617188e-07,0.0,0.013687456026673317,0.012469504028558731,0.0006234645843505859,False
